caption,image_id,funny_score
changing name to Eiffry Tower thank you,wendys_82,1.0
I AM 👁️AWAKE 👁️,wendys_83,1.0
They don’t prepare you for the pressure of choosing between a small or a medium fry.,wendys_84,1.0
He jiggles like crazy.,wendys_85,1.0
to take the edge off.,wendys_86,1.0
pls 🥹,wendys_87,1.0
"Tag yourself, I’m doordash order.",wendys_88,1.0
BFAST HITS DIFF 🥓,wendys_89,0.0
I am their small fry and a chocolate frosty queen.,wendys_90,1.0
They’re very spicy to ME,wendys_91,1.0
Dump him 💅,wendys_92,1.0
Think hard.,wendys_93,1.0
Dangot.,wendys_94,1.0
she left me on thread,wendys_95,1.0
A prized collection.,wendys_96,1.0
And how much do you think he’d sell it for?,wendys_97,1.0
srs messages only,wendys_98,1.0
Don’t try to fight your destiny.,wendys_99,1.0
🫶🫶🫶,wendys_100,1.0
Your butter board could never,wendys_101,0.0
We are innovators. What should we print next…,wendys_102,0.0
basically nailed it,wendys_103,1.0
NO ONE CAN BEAT THIS GAME jk it’s not even real lol,wendys_104,1.0
Which one are YOU?,wendys_105,1.0
What’s your fav Dave?,wendys_106,1.0
"There’s only one thing better than a shirt, and that’s a shirt with writing on it",wendys_107,1.0
We are so back,wendys_108,0.5
#wendys #flowers #potatoes #seasoned #overwatch #asmr #viraltiktok #trend #wendysvideo #breakfast #breakfastfortniteflowers,wendys_109,0.0
alpha behavior,wendys_110,1.0
💛,wendys_111,0.0
It’s a sign,wendys_112,1.0
You know who you are.,wendys_113,1.0
And he’s single 🤤,wendys_114,1.0
Why they always gotta post people’s business,wendys_115,1.0
"When in doubt, a frosty’ll fix it.",wendys_116,1.0
And we’re back #NationalRoastDay,wendys_117,0.0
"I’m a burger girl, in a burger world",wendys_118,1.0
It’s good to eat food. Here are some reasons!,wendys_119,1.0
"Duke it out in the comments. Kiki or Bouba, it’s still only 3 bucks. #3BreakfastDeal",wendys_120,1.0
stay mad 🏀😤🧊,wendys_121,1.0
🍔?,wendys_122,1.0
Everyone’s favorite dinner is always a large fry in the car.,wendys_123,1.0
🍔The Official Hamburger of the Basketball 🏴‍☠️,wendys_124,1.0
what is she whispering tho?,wendys_125,1.0
CAN'T BELIEVE THIS IS THE VIEW FROM THE PITTSBURGH WENDY’S🔥😍🔥,wendys_126,0.0
smellin beefy,wendys_127,1.0
Boat?,wendys_128,0.0
You wouldn’t download a nugget,wendys_129,1.0
There’s actually four different something sweet o’clocks per day.,wendys_130,1.0
Hope everyone is uncomfortable with the energy we’ve created in the studio today 😌,wendys_131,0.0
and mentally I’m just vibin in the back booth,wendys_132,1.0
For the 1 you luhv,wendys_133,0.0
no pressure or anything,wendys_134,1.0
"Stay strong out there, or don’t, I wouldn’t.",wendys_135,1.0
your circle should be talking about squares,wendys_136,1.0
You can’t achieve strawberry lemonade until you first get strawberry lemonade followed by strawberry lemonade.,wendys_137,1.0
But you’ll probably just call her Ashley,wendys_139,1.0
🥚🍳,wendys_140,1.0
"If you need me, I’ll be in the Wendy’s drive-thru",wendys_141,1.0
Only a genius can solve this: 🍟⟌🍔ᒾ,wendys_142,1.0
NORMALIZE LEMONADE AS AN EVERY MONTH BEVERAGE,wendys_143,1.0
PLZ,wendys_144,0.5
Which Wendy’s affirmation are you today?,wendys_145,1.0
AND a strawberry lemonade,wendys_146,1.0
like where are the fake mustaches too,wendys_147,1.0
She's a Peppermint Frosty and she's beautiful.,wendys_148,1.0
"And unlike a baby, you can give it as a gift.",wendys_149,1.0
NEW MITTENS JUST DROPPED. Here are some product features #peppermintfrosty,wendys_150,0.0
the traffic was actually really delicious,wendys_151,1.0
O-h,wendys_152,1.0
What does the second one mean?,wendys_153,1.0
Class roll call is about to get reallll confusing,wendys_154,1.0
winner gets free fries,wendys_155,0.0
"we can’t prove it, but we just KNOW it would be better",wendys_156,1.0
"Godzilla left the movies and jumped dimensions just to hang in the Wendyverse? Makes sense tbh.

@Godzilla_Toho
@metahorizon",wendys_157,1.0
and the standardized testing was a Biggie Bag,wendys_158,1.0
Direct eye contact the whole time,wendys_159,1.0
Who’s gonna be the first one to check the walk-in?,wendys_160,1.0
see above: Saturn Devours His Son c. 1819–1823 mixed media mural transferred to canvas,wendys_161,1.0
we are and always will be god tier.,wendys_162,1.0
You need a lil treat after all that shopping.,wendys_163,1.0
when you spend so much time looking at the online Wendy’s menu it adds another whole hour of time to the day.,wendys_164,1.0
She thought her mic was off. Leave her alone. #bravocon,wendys_165,0.0
and the red hair HAS to be in pigtails,wendys_166,1.0
tag urself I’m soup-core,wendys_167,1.0
if not then literally what’s the point,wendys_168,1.0
*Dolphin noises*,wendys_169,1.0
He was just excited.,wendys_170,1.0
You shouldn’t have said anything …,wendys_171,1.0
Do NOT swipe unless you’re mentally prepared for the hot and crispy!,wendys_172,1.0
She’s still his favorite mom.,wendys_173,1.0
WHY IS NO ONE INVESTIGATING THIS ?! INTERNET DO YOUR THING,wendys_174,1.0
"Honestly when you’re a Frosty, you can make any relationship work.",wendys_175,1.0
tbh think you guys love our lemonade more than we do,wendys_176,1.0
"Which slide do you relate to? For reference, we’re every single one all of the time",wendys_177,1.0
retweet if you wish this was you rn,wendys_178,1.0
"don’t forget your drink king, hope you had a good day. Bye, Pop.",wendys_179,0.0
immediate no,wendys_180,1.0
Nugg racing > marble racing. Cause marbles aren’t delicious. (Not that we’ve done the research.),wendys_181,1.0
What are the soundtrack titles for the Baconator album?,wendys_182,1.0
"True heroes don’t wear capes, but they do disguise themselves as altruistic.",wendys_183,1.0
Wendy is a soft serve salty sweet that smacks.,wendys_184,1.0
What can we say? We’re a walking metaphoric 🔥 hazard.,wendys_185,1.0
☀️🍓🥗 Summer Strawberry Salad is back! Don’t miss out on the Summer Salad Fest with fresh-made ingredients and fresh summer strawberries!,wendys_186,0.0
AND your mom,wendys_187,1.0
I was really feelin’ myself in this photo. 💅💅💅,wendys_189,1.0
The dudes have to know,wendys_190,1.0
"5 bucks then, 5 bucks now. They grow up so fast… *wipes tear with French Fry*",wendys_191,0.0
What blind items got leaked about Frosty😲?,wendys_192,1.0
"Who needs another long-winded unpronounceable drink order when you could get a sandwich, nuggs, fries and drink for just",wendys_193,1.0
Doing some light case analysis this morning.,wendys_194,1.0
A highly request tutorial from you guys #charcuter #hack,wendys_195,0.0
A peek into the abyss.,wendys_196,1.0
"or as the experts call it, “an exchange of money for goods”",wendys_197,1.0
What are you guys watching right now? Comment below 👇,wendys_198,1.0
"❤️ for long fry, comment for wide fry. There are no wrong answers. Yet. #wendys #food",wendys_199,0.0
🌞,wendys_200,0.0
We heard she can absolutely champion one.,wendys_201,1.0
Ahh…the 444. What can we say? It’s a masterpiece. #444 #wemdys #art #food #foodart,wendys_202,0.0
"That’s so true. We don’t want to hear any excuses, we’re TIRED of hearing excuses.",wendys_203,1.0
A guaranteed bet is that when we get together with @RickandMorty in Vegas it’s gonna get wild. (Safe and boring),wendys_204,0.0
How are YOU?,wendys_205,0.0
"The only life hack you should care about, tbh.",wendys_206,1.0
Has this ever happened to u,wendys_207,0.0
Write me a love poem in the comments.,wendys_208,1.0
"Study up, kids.",wendys_209,1.0
My mom says if I have another potato I’ll turn into one.,wendys_210,1.0
How do you Frosty?,wendys_211,1.0
Your state’s top free drink. Did we get it right?,wendys_212,0.0
Turned up the heat for #NationalRoastDay,wendys_213,0.0
The burger is tiny but the CUTE FACTOR can comfortably fit a family of four.,wendys_214,0.0
Only PEOPLE WHO  HAVE EATEN FRENCH FRIES WILL UNDERSTAND  THIS,wendys_215,0.5
Merry Beefmas and a Nuggy New Year,wendys_216,0.0
just here to start arguments tbh,wendys_217,1.0
"A six-slide-long fr-inger trap, baby. ",wendys_218,1.0
Hint it’s NOT the carton of nuggets or the background.,wendys_219,1.0
Leftovers: From Wack to Wendy’s,wendys_220,0.0
Drop some gratitude in the thank bank below 🏦↓,wendys_221,0.0
Tag your friends I’m Jalapeno Poppi.,wendys_222,1.0
✒️𝓒𝓪𝓷 𝔂𝓸𝓾 𝔀𝓻𝓲𝓽𝓮 𝓯𝓪𝓷𝓬𝔂?,wendys_223,1.0
"Halloween comes and goes, spicy nuggs 4 eva!",wendys_225,1.0
Homework,wendys_226,1.0
Humor is our passion,wendys_227,1.0
We all have that one BFF...,wendys_228,0.0
Real talk,wendys_229,0.5
Morning be like,wendys_230,1.0
"Don’t count the boomers out, bruh.",wendys_231,1.0
Guess a ghost ate your fries. ¯\_(ツ)_/¯,wendys_232,1.0
it’s bogo $1 big brain bean bag chair time,wendys_233,1.0
Do try this at home (we mean the Frosty),wendys_234,1.0
I mean ghosts can be cool but Ghost Pepper is fire.,wendys_235,1.0
Who says you have to choose? Get the Spispy Nuggs. *not a real product yet*,wendys_236,0.0
We love you too but we’re a restaurant.,wendys_237,1.0
Will brake for chicken.,wendys_238,1.0
"The couple that feasts on Wendy’s together, stays together.",wendys_239,1.0
"What sorcery is this? It’s just the BOGO $1 deal, y’all.",wendys_240,1.0
We be spittin’ facts today.,wendys_241,1.0
Chewing a Baconator? So not cheugy.,wendys_242,1.0
Drop your Wendy’s name in the comments. 🍟,wendys_243,0.5
Not gonna say it’s the GOAT but…,wendys_244,1.0
"Next time you’re having a low-key breakdown, remember that Breakfast Baconator exists.",wendys_245,1.0
Talk about a side piece...,wendys_246,1.0
We looked this up on dreaminterpretations.com. It means you should order chicken nuggets.,wendys_247,0.5
"Straight-up facts, son.",wendys_248,1.0
"Fresh, never frozen beef is in a relationship with fresh, never frozen beef.",wendys_249,0.0
"Sure, your friend’s baby is cute, but is it covered in Applewood smoked bacon?",wendys_250,1.0
What do you use your Wendy’s cups for?,wendys_251,1.0
Are we the center of our own burgerverse or are we just a floating collection of fantastic ingredients in space. Comment,wendys_252,1.0
Who raised you,wendys_253,1.0
"Every time I serve this Baconator at home, it is a hit!  The kids, Dale, everyone goes crazy for it! I can’t keep it on",wendys_254,0.0
FINALLY an easy meal plan!,wendys_255,0.0
Beauty is in the eye of the BaconHolder.,wendys_256,1.0
This is just for you. You are special. You are a Baconator.,wendys_257,1.0
Keep your friends close and your friends with unusually long arms away from your Frosty.,wendys_258,1.0
DO NOT MESS WITH US,wendys_259,1.0
Would a Baconator eat a Baconator if a Baconator could?,wendys_260,1.0
You are here.,wendys_261,1.0
Tell us your name and we’ll let you know your official name abbreviation.,wendys_262,1.0
This is your chance to win!,wendys_263,0.0
Really makes you think. #BrandedContent #Relatable #Amiright #2020,wendys_264,1.0
"Frosty the Frosty, oh how the children love thee!",wendys_265,0.0
The secret ingredient was in your heart all along!,wendys_266,0.0
What if we kissed in the Wendy’s drive thru? jk…. unless ? 👉👈 👀,wendys_267,1.0
the only squares allowed at Wendy’s are patties,wendys_268,1.0
Interior design is my passion,wendys_269,1.0
*playing catch in the backyard on a crisp fall day*,wendys_270,0.0
what you thinkin’ bout?,wendys_271,1.0
🤯,wendys_272,1.0
@webmd,wendys_273,1.0
find all the hidden grub...IF YOU DARE ☠️,wendys_274,1.0
check out our Jack-o-Wender’s!,wendys_275,0.0
🥐,wendys_276,0.0
"it’s chili season, bby 👏",wendys_277,1.0
beat it football head,wendys_278,0.0
nature so beauty 🍂,wendys_279,1.0
ditch the zero and get with a hero.,wendys_280,0.0
ડρꪮꪮ𝕜ꪗ ᥇ꪮꪗડ 𝕥ꪖ𝕜ꫀ ꪀꪮ𝕥ꫀ 👻,wendys_281,1.0
mentally i’m in a drive thru ordering nuggs and screaming the lyrics to track number 2 🤪,wendys_282,1.0
we call it the spicy spicy very nicy,wendys_283,0.0
call it a glow up,wendys_284,0.0
"glamour, grace and perfect taste 💅",wendys_285,0.0
the most important decision of your lyfe lowkey,wendys_286,1.0
𝖚𝖓𝖑𝖔𝖈𝖐 𝖙𝖍𝖊 𝖕𝖔𝖘𝖘𝖎𝖇𝖎𝖑𝖎𝖙𝖎𝖊𝖘,wendys_287,0.0
Everything reminds me of...😍,wendys_288,1.0
"A breakfast this good deserves to be shared. Tag your go-to buy one, get one breakfast bud in the comments. Pro tip: you can tag yourself.",wendys_289,0.0
*Investment*,wendys_290,1.0
Had to break it to ‘em,wendys_291,1.0
Steamy,wendys_292,1.0
Fries sold separately,wendys_293,1.0
Let the experts weigh in.,wendys_294,1.0
The people want to know,wendys_295,1.0
Truth.,wendys_296,1.0
Ya curious?,wendys_297,1.0
Threw it in just 4 you. Tag a friend to share the ❤️.,wendys_298,1.0
The motherboard is fried.,wendys_299,1.0
Grad u ate some Wendy’s.,wendys_300,1.0
Pigtails will always be in.,wendys_301,1.0
Describe a Frosty in one word.,wendys_302,0.5
Truth.,wendys_303,1.0
"Get the chicken you crave with our 2 for $5, but which two are you taking?",wendys_304,0.0
That potato life.,wendys_305,1.0
Gettin free nugs today is the next best thing.,wendys_306,1.0
"That feeling when your outfit’s looking super fresh. If you wanna dress like Wendy in Animal Crossing, use code:",wendys_307,0.5
"Honestly, what’s the difference?",wendys_308,1.0
"To keep updated on the latest, click the link in our bio.",wendys_309,0.0
McWho?,wendys_310,0.0
It’s literally called the Breakfast Baconator.,wendys_311,0.0
History in the making.,wendys_312,0.0
Serving W’s for breakfast.,wendys_313,1.0
"Oof. We've got 6 days till March 2nd. Seems excessive but hey, you're the King.",wendys_314,1.0
Baconator. For. Breakfast. How could you NOT want in on this?,wendys_315,0.0
No shame.,wendys_316,1.0
Whoops.,wendys_317,1.0
Just chillin’ at our mountainside B&B at the #xgames. Living that #blessed life.,wendys_318,0.0
Crispy.,wendys_319,0.0
"Once you get it, it’s over.",wendys_320,1.0
When you tasty and you know it.,wendys_321,1.0
Humans only pls.,wendys_322,1.0
¯\_(ツ)_/¯,wendys_323,1.0
Bean.,wendys_324,1.0
Don’t you let anyone tell you otherwise.,wendys_325,0.0
We’re a freaking winter wonderland. (sound on),wendys_326,0.0
Name the song.,wendys_327,1.0
Gotta be SPICY to light our fire. Link to full video in bio.,wendys_328,1.0
Flexin’,wendys_330,1.0
A mood.,wendys_331,1.0
"Feeling fresh, might delete later.",wendys_332,1.0
Truer words have never been spoken.,wendys_333,0.0
"If you know, you know.",wendys_334,1.0
"There’s many Mortys but only one serves up spicy nuggets. That’s right, there’s a Wendy Morty out there. Let us know",wendys_335,1.0
Were you about to scroll by without trying to find Wendy Morty? Shame on you. Restore your honor by finding her. Let us,wendys_336,1.0
Somewhere out there is the Wendy-est Morty. Let us know when you find her.,wendys_337,1.0
Can you find Wendy Morty? She looks exactly like what you just imagine when you read “Wendy Morty.” Let us know when you,wendys_338,1.0
"Looking for Wendy Morty? She’s totally not in this one. So keep looking. But if you do happen to find her, let us know.",wendys_339,1.0
There’s a Wendy Morty guys. Tell us when you find her. The ball is in your multiverse.,wendys_340,1.0
So we’re just gonna bring you a birthday gift on our birthday to our birthday party on our birthday with a birthday gift. We turn 50 this month and want to celebrate. 🎉,wendys_341,0.0
Where is the square hamburger emoji when you need it?,wendys_342,0.0
2 for $5 > Rent,wendys_343,1.0
Where’s the lie?,wendys_344,1.0
Them: What’s your favorite number? ,wendys_345,1.0
*Checks Camera Roll*,wendys_346,0.0
"After review, the ruling that Wendy’s is the 🐐 still stands.",wendys_347,0.5
Epic Gamer moment. Play our new @GIPHY Arcade Games 🕹 Link in bio.,wendys_348,0.0
Do it for the gram.,wendys_349,0.0
Period.,wendys_350,1.0
"Join the fight against the dark art of frozen beef. Our first tabletop RPG, #FeastOfLegends, is officially live! Download now for FREE: feastoflegends.com",wendys_351,0.0
The Realm needs heroes. 10.3.19,wendys_352,0.0
We’re on a boat,wendys_353,0.0
"Choose your fighter. 1, 2 or 3?",wendys_354,1.0
Anyone else’s car do this? Asking for a friend.,wendys_355,0.0
Even your elementary school teacher agrees.,wendys_356,0.0
Queen of Spice and that’s not up for debate. 🔥👸,wendys_357,1.0
Change my mind.,wendys_358,0.0
Okay but same.,wendys_359,0.0
New month. Same nuggs.,wendys_360,0.0
🔥🔥🔥,wendys_361,0.0
Don’t forget.,wendys_362,0.0
She’s doing us all a service.,wendys_363,0.0
The spicy sign we’ve all been looking for 👀🔥,wendys_364,0.0
Relationship Goals 🔥,wendys_365,1.0
"Finally, a post you care about: Spicy Nuggs are back, baby 🔥",wendys_366,0.0
Priorities on point tbh.,wendys_367,1.0
You asked and the Queen of Spice delivered. Spicy Nuggs are back on the menu. You’re welcome 🔥🔥🔥,wendys_368,0.0
Spicy Chicken Nuggets will now be back in all restaurants THIS MONDAY! Get ready. 🔥,wendys_369,0.0
"More than just one level, we made a whole world #SMM2",wendys_370,1.0
