imgAlt,imgName,isMeme
"What will you choose with our Summer Deals? 

Thanks to @F.messina17 and her team at the McDonald’s Cheseaux for sharing this awesome video with us!

#McFamilySwitzerland",mcdonalds_switzerland_37,-1
Aura +5000 if you bring the Fr. 1.- hamburgers on the Swiss game days.,mcdonalds_switzerland_38,-1
Summer in style with the McFlurry Torino® 🕶️,mcdonalds_switzerland_39,-1
"If hamburglar could steal @kodda.ink 's tattoo, he would!",mcdonalds_switzerland_40,0
To each their own style...,mcdonalds_switzerland_41,1
A warm-up before the mega star's concert! The Hohlstrasse McDonald's close to the Letzipark has prepared a little party,mcdonalds_switzerland_42,-1
I guess I should just listen to my keyboard then. Let's go for a Big Mac bacon!,mcdonalds_switzerland_43,1
"So, so, soooooo... Am I going to get you this time? Who can figure out where this McDonald's is, huh?",mcdonalds_switzerland_44,-1
Swiss match day mean Fr. 1.- hamburger for me!,mcdonalds_switzerland_45,1
"The Big Mac sauce is just a match with anything. Thank you @christel.anouk, @mohinirangra, @ianloaded and @lorik.mali for this culinary discovery!",mcdonalds_switzerland_46,-1
Comment the number of smiles you see below and follow our account to get the chance to win some really cool minions,mcdonalds_switzerland_47,-1
"Spring Summer Collection 2024, beach clubs will have to watch out!

Redeem your loyalty points for this hot Big Mac merch in the app to show off this summer.",mcdonalds_switzerland_48,-1
Tomorrow your Hamburger is Fr. 1.- 🥳. That's what I call happiness!,mcdonalds_switzerland_49,0
"Honestly, you don't even need a sign, it's already a banger.",mcdonalds_switzerland_50,-1
Looking for an apprenticeship? Apply now via the link in our bio,mcdonalds_switzerland_51,0
Your Fr.1.- Hamburger is back in the game today!,mcdonalds_switzerland_52,-1
Hamburger lovers: reminder for tomorrow 19.6!,mcdonalds_switzerland_53,1
"All I need is McDelivery, sun and friends!",mcdonalds_switzerland_54,-1
I know there are talented artists among you. Join in the production by commenting with your best McDonald’s lyrics!,mcdonalds_switzerland_55,-1
"I mean, it's almost summer and all I'm dreaming of is a warm apple pie on my sofa under a blanket...",mcdonalds_switzerland_56,1
"Guess who's back on the pitch? As you already know, it's a tradition: every day our national team plays, the hamburgers",mcdonalds_switzerland_57,1
"With the Big Mac, there's never enough! (Slide to the end, you'll see)",mcdonalds_switzerland_58,-1
"It’s fresh, fresh, exciting apple Schorle by @ramseier_ch . 🎶",mcdonalds_switzerland_59,-1
"From now on, I'll place all my orders as @_giganto_.​",mcdonalds_switzerland_60,-1
"Even without looking, I'm sure you already know who's going to treat you.",mcdonalds_switzerland_61,-1
It's time to place your bets for this epic face off. Which team are you?,mcdonalds_switzerland_62,-1
Exchange your loyalty points now to get that merch (and that smile).,mcdonalds_switzerland_63,1
"I love you for all the reasons in the world, but especially for this one.",mcdonalds_switzerland_64,1
"This is how I feel when I bite into the Steakhouse Burger of the Big Bang menu. For CHF 9.50 the cowboy hat doesn't come with it, but if you have one, bring it!

*Maximum price in all participating McDonald's restaurants in Switzerland and the Principality of Liechtenstein",mcdonalds_switzerland_65,-1
"Our Brand Ambassadors are challenging you again this month, and they're not kidding. Have you found where this",mcdonalds_switzerland_66,-1
"It’s International Burger Day, so enjoy it to the last bite!

#burgerday",mcdonalds_switzerland_67,-1
In a galaxy not so far away... the KitKat donut has joined the Vanilla Sky and the Sweet Heaven in our Milky Way. Go and explore!,mcdonalds_switzerland_68,-1
"Know which burger it is? Even pixelized, it looks so delicious...",mcdonalds_switzerland_69,1
Spotted: Batman passing by the McDrive in Kriens before going back to Gotham City.,mcdonalds_switzerland_70,-1
"This story is a bit like the Tortoise and the Hare... In the end, it's the one who uses Order&Pay who wins!​",mcdonalds_switzerland_71,-1
I see that @basil.montemitro was really inspired! Have you ever organized a McDo car date?,mcdonalds_switzerland_72,-1
A 100% satisfying post. Thanks to the McFlurry® Torino® and Oreo®.​,mcdonalds_switzerland_73,-1
"41k, our flex! ''Started from the bottom, now we're here!'' and I want to thank you for all the fun we had together",mcdonalds_switzerland_74,-1
"This is no hallucination, you've seen it perfectly! Right now, loyalty points are doubled for all Order&Pay orders.",mcdonalds_switzerland_75,1
To all the Moms:,mcdonalds_switzerland_76,-1
"Introducing the magic hourglass. Abracadabra, you can now double your loyalty points on all orders with Order&Pay ⏳",mcdonalds_switzerland_77,-1
The Shrimps are official!​,mcdonalds_switzerland_78,1
"If you are as passionate about the @malbuner bacon as @welovefoodfummy, participate in our raffle and get the chance to win 5x1000 Bonus Points in your app! 

To participate follow these steps:

- Download the McDonald’s app
- Leave a comment with your love declaration to the Malbuner bacon in our burgers

Terms & conditions in bio",mcdonalds_switzerland_79,-1
"There are those who use Order&Pay, and there are the others...",mcdonalds_switzerland_80,1
There are certain advice that you just want to take! 👀,mcdonalds_switzerland_81,-1
May the fries be with you!,mcdonalds_switzerland_82,1
"Let's celebrate our favorite colleagues! The ones who put a smile on our faces in the morning, the ones who think of every birthday, the ones who always have a joke to tell... 

Thanks to @gdgiuls and her team at the McDonald's Magliaso for sharing this cheerful video with us! 

#McFamilySwitzerland",mcdonalds_switzerland_83,-1
"Okay, this time we're not kidding. Whoever figures out where this McDonald's is, is a genius.",mcdonalds_switzerland_84,-1
"The most loyal get the Big Tasty reward unlocked. 
Start collecting Loyalty points now in the app, one day you'll reach that level.",mcdonalds_switzerland_85,-1
"If you feel like you've missed something, it's because you're not yet using Order&Pay in the app.",mcdonalds_switzerland_86,-1
The A-Team.,mcdonalds_switzerland_87,-1
I predict that this summer will be Sundaelicious.,mcdonalds_switzerland_88,1
Challenge accepted @2taktforeveryone...​,mcdonalds_switzerland_89,-1
Seems like @davina._.zh knows where to find the most beautiful skylines.,mcdonalds_switzerland_90,-1
"BTS of the Big Tasty Mexican burger creation. Have you tried it yet?

Thank you @tyf_fer from the Crissier McDrive for this tasty video! 

#McFamilySwitzerland",mcdonalds_switzerland_91,-1
"On a date or alone, lots of offers are waiting for you from 5pm in the app, so you're sure to have a great evening!",mcdonalds_switzerland_92,1
They don't know the ultimate pleasure of biting into a Big Mac in peace.,mcdonalds_switzerland_93,-1
"Can't wait for the first bite? There is no problem, only solutions.",mcdonalds_switzerland_94,0
Ready for the egg hunt? We've also hidden an Easter egg among the burgers. Can you find it? Zoom in!,mcdonalds_switzerland_95,1
"No matter what time it now is or will be, there’s always room for a McDonald’s snack. 🍟⏰",mcdonalds_switzerland_96,1
Me on my way to McDonald’s on a “Good Friday” 😉.,mcdonalds_switzerland_97,1
I know some people who will take the 2 medium menus for CHF 19.90 with the Sunset Offers in the app…,mcdonalds_switzerland_98,1
The quest continues… Can you guess where this McDonald’s is? 👀,mcdonalds_switzerland_99,-1
A small gesture can have a beautiful impact. Thank you for bringing families closer to their hospitalized children with your donations! #RMHC,mcdonalds_switzerland_100,-1
Does your McDonald's order match your vibe? I'm deeply inspired by the new Big Tasty Mexican 🍔🍟,mcdonalds_switzerland_101,1
"Finally, some instructions that make sense…",mcdonalds_switzerland_102,1
"A Medium Menu for CHF 9.90, 2 Cheeseburgers for CHF 4.- and many more. Find the incredible offers every day as of 5pm in",mcdonalds_switzerland_103,1
We are Burger Queens! 👸 Why?,mcdonalds_switzerland_104,0
Cheeseburgers with the Big Bang menu taste even better with @malbesser.malbuner bacon. Make your friends jealous. 🥓😉,mcdonalds_switzerland_105,-1
"Big Bang menus: 9.50.- of pure pleasure. 🤤

*Maximum price in all McDonald's restaurants in Switzerland and the Principality of Liechtenstein.",mcdonalds_switzerland_106,-1
"In 30 years, The Ronald McDonald House Charity in Switzerland has supported around 25’000 families and their loved ones with 212’000 overnight stays in its six houses, where they can stay and be close to their hospitalized child. Thanks to you and thanks to our amazing partners!🏡💙 #RMHC",mcdonalds_switzerland_107,-1
Our challenge is getting harder! 😅 Have you seen this one before? 👀 Tell us in the comments below where this McDonald’s,mcdonalds_switzerland_108,-1
What is your special technique?,mcdonalds_switzerland_109,-1
Ketching up with myself! 💅🏼,mcdonalds_switzerland_110,1
"Thanks to @christel.anouk, @shana_gina, gabi_7777777, we've totally expanded our culinary horizon! 😌👨🏻‍🍳✨",mcdonalds_switzerland_111,-1
Glad you not only found a snack but a whole meal with us @keep.wedding !,mcdonalds_switzerland_112,0
To Carlos,mcdonalds_switzerland_113,1
"We're lovin' you! 

Thanks to @ektaure from the @mcdonaldslacote, @f.messina from the Cheseaux-sur-Lausanne McDonald's and @fabriziadalessio from the Lugano Albertolli restaurant. You really warmed our hearts with these lovely Valentine's day decorations! 💖",mcdonalds_switzerland_114,-1
I don’t remember what I've ordered…can you help me? 👀 Tell me in the comments below!,mcdonalds_switzerland_115,1
It's time for the Superbowl! 🤩 You’re already winning with these incredible Superweeks deals ! Enjoy them for 7 more,mcdonalds_switzerland_116,-1
POV: You almost never get pick(l)ed…😢,mcdonalds_switzerland_117,1
The only thing in my mind since it’s back.,mcdonalds_switzerland_118,1
It’s number 6 for me!,mcdonalds_switzerland_119,1
Donut eat snow. Eat me!,mcdonalds_switzerland_120,1
How did we really feel about January? 🥴,mcdonalds_switzerland_121,1
Me. Every. Single. Time.,mcdonalds_switzerland_122,1
Are you hot or cold with guessing? Where do you think this is? Tell us in the comments.,mcdonalds_switzerland_123,-1
Secret's out: @motorswissgirl is Batman (and taking her Batmobile for a ride to McDrive!),mcdonalds_switzerland_124,-1
Literally me this weekend.,mcdonalds_switzerland_125,1
Not only the Cheeseburger is serving at the après-ski!💁🏽‍♀️,mcdonalds_switzerland_126,1
"The beauty of not standing in line and waiting on your order. Simply order in the app 📱... for service at the table, Take-Away or McDrive orders. Thank you M@mcdonaldslacote for demonstrating it so well.",mcdonalds_switzerland_127,-1
"Finally, it was time to fall in love again! Thanks for joining Carlos on the way to his date where he met his beloved ex - the one and only CBO❤️🥹",mcdonalds_switzerland_128,-1
Now it’s time for you to fall in love again. ,mcdonalds_switzerland_129,-1
"Episode 7/8 – Nervous and struggling to find the right outfit? Sounds like getting ready for a DATE! And let's be honest, we've all been there... 🤷‍♂️🤷‍♀️ Join in on 09.01. at 7pm for some emotional support❤️ 
#HungryforLove #McDonalds #Telenovela",mcdonalds_switzerland_130,-1
"Episode 6/8 – Do you believe in love at first sight? Or even in love at SECOND SIGHT? Stay tuned for more love. 💫😍
#HungryforLove #McDonalds #Telenovela",mcdonalds_switzerland_131,-1
Episode 5/8 – Walking while watching the smartphone? Not the best idea! But sometimes it takes you to unexpected places...😏 #HungryforLove #McDonalds #Telenovela,mcdonalds_switzerland_132,-1
Grimace is our forever King. 👑,mcdonalds_switzerland_133,1
"Episode 4/8 – If love were easy, it wouldn't be so exciting, would it? 🤭 Especially when there are a few OPTIONS. Stay tuned to find out how Carlos decides... 
#HungryforLove #McDonalds #Telenovela",mcdonalds_switzerland_134,-1
"New year, old me.",mcdonalds_switzerland_135,1
"Episode 3/8 – The most exciting thing about COINCIDENCES? They always happen when you LEAST EXPECT them! What do you think Carlos just saw?👀 
#HungryforLove #McDonalds #Telenovela",mcdonalds_switzerland_136,-1
"Do something good when you’re not feeling good… (like rounding up your orders)!

With the resolution of a donation for the Ronald McDonald Children's Foundation you can start the new year in a great way 😉! More information in our Link in bio",mcdonalds_switzerland_137,-1
Let it shine in 2024! See you next year (or at 1 am👀)✨,mcdonalds_switzerland_138,-1
Episode 2/8 – Don’t we all have that Ex appearing out of the blue AFTER 5 YEARS?! 🤷🏼 Carlos clearly isn’t as strong as you are – help him out! #HungryforLove #McDonalds #Telenovela,mcdonalds_switzerland_139,-1
What a year! ,mcdonalds_switzerland_140,-1
"Episode 1/8 – He even screamed. Come on. His heart must be broken like crazy. 💔
But will there be another big love in his life? Stay tuned to find out. 
#HungryforLove #McDonalds #Telenovela",mcdonalds_switzerland_141,-1
The countdown to New Year is on! 🎉🍔 Luckily you can get our Big Bang Menus each and every day. 😌,mcdonalds_switzerland_142,-1
"Comment obtenir la collection LIMITÉE rétro de @mcdonalds_switzerland?

1️⃣ Télécharge l’application McDonald’s
2️⃣ Inscris-toi au programme de fidélité
3️⃣ Cummule des points et échange-les

Attention : le merch est dispo jusqu’à fin
décembre !

➡️ Check le lien en BIO

#McDonalds #McDonaldsSuisse
#McDonaldsMerch #McDonaldsRetroCollection
#ad",mcdonalds_switzerland_143,-2
Merry Christmas all of you!🍔🎄,mcdonalds_switzerland_144,0
What's your excuse for a McDo?,mcdonalds_switzerland_145,-1
"'Tis the season! 🎅

Thanks to our McFamily for adding a touch of magic to the restaurants! 

McDonald's Cheseaux @f.messina17
McDonald's Lausanne Deux Gares angelique.salv
McDonald's  Conthey @arqrz 
McDonald's Magliaso @gdgiuls
McDonald's Lugano Pazzallo @mia.delcore",mcdonalds_switzerland_146,-1
"Comment obtenir la collection LIMITÉE rétro de @mcdonalds_switzerland?

1️⃣ Télécharge l’application McDonald’s
2️⃣ Inscris-toi au programme de fidélité
3️⃣ Cummule des points et échange-les

➡️ LIEN DANS LA BIO

Attention : le merch est dispo jusqu’à fin
décembre !

#McDonalds #McDonaldsSuisse
#McDonaldsMerch #McDonaldsRetroCollection
#ad",mcdonalds_switzerland_147,-2
"No filter needed, we've got the perfect Christmas glow for you! 🎄✨ Your style is already hot, but with McDonald's, it's a whole fireworks! 🔥🍔",mcdonalds_switzerland_148,-1
Congratulations to @officialgshc on reaching the Champions League semi-finals! We look forward to seeing you soon in our,mcdonalds_switzerland_149,1
Spotted: Nessi from the @masked.singer.switzerland skipping the queue...,mcdonalds_switzerland_150,-1
Hotter than your ex.,mcdonalds_switzerland_151,-1
"The crying, fighting and worrying about who's getting the last Chicken McNuggets has come to an end: The Chicken",mcdonalds_switzerland_152,-1
Nessi ? Is it you at the @masked.singer.switzerland ?,mcdonalds_switzerland_153,-1
"Here’s how YOU can get the LIMITED McDonald’s MERCH💥🔥:

➡️ All you have to do is: 

- Get the McDonald’s app📱
- subscribe to the loyalty program🫶🏼
- collect points and exchange them!⚡️ 

The Merch is VERY LIMITED so BE QUICK ;)

#fyp #McDonalds #McDonaldsSwitzerland #McDonaldsMerch #McDonaldsHack #AppExclusive #McDecember #McFashion #ad",mcdonalds_switzerland_154,-1
Don’t walk... Run to the link in bio for our apprenticeship offers.,mcdonalds_switzerland_155,1
If you squint your eyes and shake your head fast you'll see what we are revealing on 04.12 in our app 🤫 (PS: It's going ,mcdonalds_switzerland_156,1
The sign you've been looking for this Sunday.,mcdonalds_switzerland_157,1
"Divide Chicken McNuggets® so that everyone gets the same amount? Well, there are definitely easier tasks...",mcdonalds_switzerland_158,-1
"Adieuuu Lausanne!
Züri bisch ume?

Come and say hi to discover more about apprenticeships and careers at McDonald's!",mcdonalds_switzerland_159,-2
"Rumor has it they are still arguing over the last Chicken McNuggets®

The fight is on 👀",mcdonalds_switzerland_160,-1
"Follow Nessi on his way to the @masked.singer.switzerland and like him, double your loyalty points by using Order&Pay on",mcdonalds_switzerland_161,-1
Nessi collects points at @masked.singer.switzerland and Loyalty Points at McDonald’s!,mcdonalds_switzerland_162,-1
My brain and I every night before falling asleep.,mcdonalds_switzerland_163,1
Sometimes you have to make decisions. The last Chicken McNuggets® or Friendship.,mcdonalds_switzerland_164,-1
I asked the AI to predict my future in a Frappé.,mcdonalds_switzerland_165,-1
My mindset is still “summer never ends”. 🥲,mcdonalds_switzerland_166,-1
Our crew members are so proud of their restaurants that they played along and sent me their photos to challenge you. So,mcdonalds_switzerland_167,-1
I think the Swiss #Aurora is trying to tell me something.,mcdonalds_switzerland_168,1
Your friendship is really being challenged here. ,mcdonalds_switzerland_169,1
Happiness for everyone.,mcdonalds_switzerland_170,1
Everyone has their own way of celebrating 'The Beatles'. I'm not leaving you the last of my Chicken McNuggets®...but I,mcdonalds_switzerland_171,1
"I mean you can eat our Donuts, but imagine…",mcdonalds_switzerland_172,1
Which one will it be for you?,mcdonalds_switzerland_173,-1
"Halloween here we come. 👻🎃
📍McDonald's Nyon Drive - @mcdonaldslacote
#McFamilySwitzerland",mcdonalds_switzerland_174,-1
Ready to change to wintertime. But change my favorite fries dip... I don't think so!,mcdonalds_switzerland_175,1
"One thing we can all agree on: Yes, to McDonald’s themed nails.",mcdonalds_switzerland_176,-1
"It’s a clear deal – get yourself some satisfaction with our Big Bang Menus! 

*Maximum price in the participating McDonald’s restaurants in Switzerland and Principality of Liechtenstein.",mcdonalds_switzerland_177,-1
Are you ready for some freestyle action on the big ramp?,mcdonalds_switzerland_178,1
Be pumped for the Royal Crispy Onions & Bacon!,mcdonalds_switzerland_179,-1
Y'all already know the game: this time it won't be easy!,mcdonalds_switzerland_180,-1
The comforting thing: you can find it everywhere in Switzerland!,mcdonalds_switzerland_181,1
Do you recognize it?,mcdonalds_switzerland_182,1
Gimme those fries!,mcdonalds_switzerland_183,1
Need me a Veggie Paprika neow!,mcdonalds_switzerland_184,1
@severinethecatwalk gets it. We’re obsessed!,mcdonalds_switzerland_185,-1
Even @stevemerson shows us what‘s in his bag. Tell us now – what‘s in yours?,mcdonalds_switzerland_186,-1
"Happy me, with my Strawberry Frappé.",mcdonalds_switzerland_187,1
And do you know where it is this time? Tell us in the comments!,mcdonalds_switzerland_188,-1
Taste it by yourself in Zürich city!,mcdonalds_switzerland_189,-1
You‘re gonna smash it for sure – even the holy McZodiac believes in you.,mcdonalds_switzerland_190,-1
Scammers be scamming but we are the OGs,mcdonalds_switzerland_191,-1
"I mean, I tried…",mcdonalds_switzerland_192,-1
Pantone up your burger!,mcdonalds_switzerland_193,-1
Ever wondered how it looks like on the other side of the counter? We‘re thrilled to show you around!,mcdonalds_switzerland_194,-1
"THANK YOU! To each and every one of our 1300 employees, partners and guests who participated in Clean-Up-Day 2023!​",mcdonalds_switzerland_195,-1
Enjoy now and thank me later 💅🏼,mcdonalds_switzerland_196,1
What an incredible journey! McDonald's Switzerland has sent 50 lucky employees to Australia to see and cheer the FIFA,mcdonalds_switzerland_197,-1
McCrispy 'N' Roll,mcdonalds_switzerland_198,1
So good that they even have their own emoji. Shrimply the best. 🍤,mcdonalds_switzerland_199,1
Tonight we're drooling at the moon. #bluesupermoon,mcdonalds_switzerland_200,1
"You know the game, but this time we go international 👀​",mcdonalds_switzerland_201,-1
They owe you.,mcdonalds_switzerland_202,-1
The meaningful look you get when you receive your order.​,mcdonalds_switzerland_203,1
Summer isn't over yet!,mcdonalds_switzerland_204,-1
On which side are you? Dip or spoon?​,mcdonalds_switzerland_205,-1
Too much flow in one pic.,mcdonalds_switzerland_206,1
Order&Pay >> flying cars,mcdonalds_switzerland_207,1
"Totally understandable, isn't it?​",mcdonalds_switzerland_208,-1
Anyone else can hear the PacMan sound rn?,mcdonalds_switzerland_209,1
✨ broke but still in the mood for a snack ✨ Credits to my Loyalty card and Order&Pay​,mcdonalds_switzerland_210,-1
Always down for a McDo.​,mcdonalds_switzerland_211,1
That's how friendships can end.,mcdonalds_switzerland_212,1
Cheesiest country ever.,mcdonalds_switzerland_213,1
Okay. You do you… @theo.prlg @angelaxbianca @claudiojaws,mcdonalds_switzerland_214,1
Red + gold = iconic. @ramseier_ch,mcdonalds_switzerland_215,1
Always wear sunscreen kids.​,mcdonalds_switzerland_216,-1
Today's program: support the Swiss soccer team and enjoy the Fr. 1.- Hamburger on Order&Pay in the app. (Terms and,mcdonalds_switzerland_217,-1
"Come on Barbie, let's go McDo!",mcdonalds_switzerland_218,1
PS: the Fr. 1.- Hamburger is back on the Swiss team gamedays. (T&Cs in bio),mcdonalds_switzerland_219,-1
You know the drill –  where is this McDonald's located?,mcdonalds_switzerland_220,-1
"I celebrate the diversity of our fries and the return of our Potatoes! 

#fries #potatoes",mcdonalds_switzerland_221,-1
Brb: You'll find me by the pool.,mcdonalds_switzerland_222,1
My face ordering McDo after a night out.,mcdonalds_switzerland_223,1
Looks like @watch_it_with_amandine is lovin' it!,mcdonalds_switzerland_224,-1
You asked for it…,mcdonalds_switzerland_225,-1
Mine is @bell_schweiz.,mcdonalds_switzerland_226,-1
Oops. When you're looking for an excuse to get a McDo.,mcdonalds_switzerland_227,-1
Ordering at the table with Order&Pay is as simple as this reel.,mcdonalds_switzerland_228,-1
The best McDo waits until the sun goes down.,mcdonalds_switzerland_229,-1
"You know the routine. So, which McDo is it?",mcdonalds_switzerland_230,-1
The secret behind Mona Lisa's smile just got revealed.,mcdonalds_switzerland_231,1
The McCrispy is so iconic it sticks in your mind.,mcdonalds_switzerland_232,-1
What's happening behind the counter? Switch sides to find out. We've got something for you.,mcdonalds_switzerland_233,-1
June is a month of love. Let the heat flow...,mcdonalds_switzerland_234,-1
You'll melt for the Iced Caffè Latte just as our giant ice cube in Zürich Stadelhofen!,mcdonalds_switzerland_235,-1
La Dolce McDonald‘s. Picking up your order in style.,mcdonalds_switzerland_236,-1
What is your most used pick up line? 😉,mcdonalds_switzerland_237,1
Our Iced Latte goes Art Basel.,mcdonalds_switzerland_238,-1
Me when I don't eat in the next 10min after I warned you that I'm hungry.,mcdonalds_switzerland_239,1
Keep cool and try our new Iced Caffè Latte. (While listening to our ice cool playlist of course ➡️ link in bio).,mcdonalds_switzerland_240,-1
When @hamco_performance is craving for a McDo ASAP.,mcdonalds_switzerland_241,-1
"You asked for it, you get it !",mcdonalds_switzerland_242,-1
As legendary as King Kong. Try our new McCrispy!,mcdonalds_switzerland_243,1
Meow can I get you?,mcdonalds_switzerland_244,1
"Mir findet wie ihr alli, dass de @b.dzemaili e Legende isch!",mcdonalds_switzerland_245,-1
"Iced Caffè Latte on the go, with the right songs in your ears. Check our playlist in the bio! 🧊🎵",mcdonalds_switzerland_246,-1
Getting ready for the Swiss Cup final! ⚽️,mcdonalds_switzerland_247,-1
Even a cat can order his favorite burger with Order&Pay.,mcdonalds_switzerland_248,-1
Let's see who paid attention in class 👀  Could you handle the challenge?,mcdonalds_switzerland_249,-1
Only the ones who use Order&Pay in the app know this trick.​,mcdonalds_switzerland_250,-1
Started with one burger now we're here. Happy Burger Day!,mcdonalds_switzerland_251,-1
The apple pie is a piece of art by itself. Enjoy this tasty vision.,mcdonalds_switzerland_252,0
"Do you know Switzerland as well as you think? If so, can you tell me where this McDonald's restaurant is located? 📍",mcdonalds_switzerland_253,-1
A McDo for lunch is cool. A McDo picnic for lunch is cooler.,mcdonalds_switzerland_254,-1
A legend is born.,mcdonalds_switzerland_255,-1
The real red carpet star of the Festival de Cannes.,mcdonalds_switzerland_256,-1
Geminis are totally the  McFlurry® Oreo of Zodiac signs.,mcdonalds_switzerland_257,1
Looks like @ecrmnt likes his burger so much he could eat his fingers with it. 📸 @amiliayy,mcdonalds_switzerland_258,-1
The first word you see will be the next benefit you'll experience using Order&Pay in the app.,mcdonalds_switzerland_259,-1
"People who do this, now is the time to shine in the comments.​",mcdonalds_switzerland_260,-1
"""Even if I steal your fries, you know that my love for you is as big as a Big Mac!"" #mothersday",mcdonalds_switzerland_261,-1
What do you think about a little McDo apero?,mcdonalds_switzerland_262,-1
Wednesday is my forever mood.,mcdonalds_switzerland_263,1
Casually sliding into your feed.,mcdonalds_switzerland_264,1
Only people using Order&Pay in the app can relate.,mcdonalds_switzerland_265,1
May the Ovo be with you.,mcdonalds_switzerland_266,-1
Luckily AI doesn't cook.,mcdonalds_switzerland_267,-1
The McCafé Tour de Suisse: can you guess the cities?,mcdonalds_switzerland_268,1
Always en vogue. #metgala,mcdonalds_switzerland_269,1
In case you just woke up: the Big Mac Medium Menu for 1.- is still available in the app via Order&Pay!,mcdonalds_switzerland_270,-1
POV: McDo social media manager during lunch break.,mcdonalds_switzerland_271,1
"When reality exceeds expectations: the Medium Menu Big Mac® for only 1.-. Open your McDo app and order it with Order&Pay, it's not a dream.

Conditions apply: see link in bio.",mcdonalds_switzerland_272,-1
